id	cul	Gender	Age	Region	REL	NAT_1	NAT_2	NAT_3	NAT_4	LNG_1	LNG_2	EDU	RHAB	FNL1	FNL2	AN	AC	RATE_WITCH	MR	SBS	AM	IRI_EC	IRI_PT	EXP
75	EN1065	EN	1	26	West	Apostolic 	Cleveland 	Oh 	None	Ohio 	Yes		Junior High School / Middle School	1	NA	NA	1.5	2.09090909090909	1	7	-4	1.13333333333333	2.85714285714286	4.42857142857143	1
76	EN1066	EN	1	25	Midwest	Christian	United States	United States	Sales	Missouri	Yes		University / College / Undergraduate School (Bachelor Degree)	1	NA	NA	3	4.09090909090909	1	5.23076923076923	1	2.06666666666667	6.57142857142857	4.85714285714286	1
77	EN1067	EN	1	48	Midwest	Christian 	United States	United States	Photographer 	Illinois 	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	10	NA	NA	2.75	5	1	6	4	3.6	7	5.28571428571429	1.33333333333333
78	EN1068	EN	1	33	Midwest	babtist christian	United States	United States	customer service rep	KS	Yes		Vocational School / Technical College / Communication College (Associate Degree)	1	NA	NA	4.5	5.27272727272727	1	6.38461538461539	3.66666666666667	5.86666666666667	6.28571428571429	5.85714285714286	4.66666666666667
79	EN1069	EN	1	27	West	Catholic	United states	Utah	Sales	Utah	Yes	Native	Junior High School / Middle School	0	NA	NA	4.75	5	1	2	0.666666666666667	7.6	4.42857142857143	4.14285714285714	2.33333333333333
80	EN107	EN	1	37	South	New York	United States ofAmerica	United States of America	Manager	New York	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	10	NA	NA	3.625	5.54545454545455	1	5	3	4.73333333333333	4.71428571428571	4.71428571428571	3.33333333333333
81	EN1070	EN	0	32	South	Christian 	United States	United States	Project manager 	OK	Yes		University / College / Undergraduate School (Bachelor Degree)	10	NA	NA	3.125	4.36363636363636	0	4.30769230769231	3.33333333333333	2.73333333333333	5.28571428571429	5.42857142857143	1.33333333333333
82	EN1071	EN	1	27	Midwest	Christian	USA	USA	None	AZ	Yes		Junior High School / Middle School	3	NA	NA	3.125	2.81818181818182	1	7	3	5.4	6.28571428571429	5.57142857142857	1
83	EN1072	EN	1	53	Midwest	Midwest	United States	United States	Retired	MI	Yes	Native	Other	3	NA	NA	4	4.81818181818182	1	3.84615384615385	3.16666666666667	1.33333333333333	4.42857142857143	5.28571428571429	3
84	EN1073	EN	1	24	Midwest	Jewish 	Usa	USA 	Data entry 	Michigan 	Yes		University / College / Undergraduate School (Bachelor Degree)	2	NA	NA	3.75	2.09090909090909	1	5.76923076923077	2.83333333333333	7.06666666666667	5.28571428571429	3	2.33333333333333
